Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitu    de,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
"Ben Lauret","PHCOP","EHEH",51.457648628699204,5.377423034919408,"EHEH",51.4576416015625,5.377472400665283,1653207022000,1653211084715,4062.7152309417725,74.57301125261452,"None","iPad","iPad11,2","15.4.1",1.0,"iOS",15.928573598448835,1.0,1.458749878100928,22.666000366210938,1.0,1.2446338868882723,"iOS","LERE LECH LERS LESU LFMT LFMD LIMJ LIRJ LFKO LIEO 6500ft"
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
1.653208377354321E9,51.629234313964844,5.2399797439575195,2952.4244974291514,310.9099294641125,100.82661563023166,2.3315568998823326,-0.07528837578267818,1.0,1.0
1.6532083783549829E9,51.62954330444336,5.239412784576416,2951.7682894008335,311.36964249205596,101.11360783853654,2.3315568998823326,-0.07528837578267818,1.0,1.0
1.653208379354773E9,51.629852294921875,5.238850116729736,2951.7682894008335,311.6799284244772,101.08173549994494,2.3315568998823326,-0.07528837578267818,1.0,1.0
1.6532083803581262E9,51.630165100097656,5.2382917404174805,2952.755905511808,312.13953873095807,101.02833539905687,0.6173954800062036,0.3165339451783255,1.0,1.0
1.653208381355084E9,51.63047790527344,5.237739086151123,2955.049129295847,312.6600324921027,100.75968040597577,0.6173954800062036,0.3165339451783255,1.0,1.0
1.653208382355729E9,51.630794525146484,5.237191677093506,2958.0051692451984,313.0601479776203,100.41707474525589,0.6173954800062036,0.3165339451783255,1.0,1.0
1.653208383373272E9,51.63111114501953,5.236647129058838,2961.2860091402117,313.49037673212996,100.38199920069788,0.6173954800062036,0.3165339451783255,1.0,1.0
1.653208384354704E9,51.631431579589844,5.236109733581543,2962.926429087718,313.92056096929616,100.1766270009935,0.6173954800062036,0.3165339451783255,1.0,1.0
1.653208385353612E9,51.63175582885742,5.235574722290039,2963.582637116036,314.299955644507,100.23780280639815,0.6173954800062036,0.3165339451783255,1.0,1.0
1.65320838637668E9,51.632080078125,5.235043048858643,2963.2512290333793,314.81036733459007,100.50165245565516,0.6173954800062036,0.3165339451783255,1.0,1.0
1.6532083873542008E9,51.632408142089844,5.234513282775879,2961.9422171685296,314.97966605482986,100.70178603452953,0.6173954800062036,0.3165339451783255,1.0,1.0
1.653208388354125E9,51.63273620605469,5.233982563018799,2961.2860091402117,315.13976035366346,100.86289771836027,0.6173954800062036,0.3165339451783255,1.0,1.0
1.653208389354145E9,51.6330680847168,5.233453750610352,2960.9580052493407,315.20989438368434,100.92925161914148,0.6173954800062036,0.3165339451783255,1.0,1.0
